Time (s),x,y,z,,timestamps
0.615114572,2.173935175,-1.446097851,6.665756702,615.114572,615114.572
0.617114572,2.11647439,-1.482010841,6.244377136,617.114572,617114.572
0.619114572,2.078166962,-1.491587639,5.411195278,619.114572,619114.572
0.621114572,2.073378563,-1.491587639,4.525041103,621.114572,621114.572
0.623114572,2.133233786,-1.477222443,4.098873138,623.114572,623114.572
0.625114705,2.22900176,-1.400607944,3.303998232,625.114705,625114.705
0.627114671,2.164358377,-1.216254473,2.647987127,627.114671,627114.671
0.629114637,2.073378563,-0.979228497,2.152387381,629.114637,629114.637
0.631113737,2.059013367,-0.866701007,1.9321208,631.113737,631113.737
0.633112837,2.066195965,-0.66798228,1.570596337,633.112837,633112.837
0.635111937,2.08295536,-0.591367841,1.41018486,635.111937,635111.937
0.637111037,2.221819162,-0.529118598,1.096544385,637.111037,637111.037
0.639110603,2.422932148,-0.517147541,0.727837324,639.110603,639110.603
0.641110603,2.420537949,-0.514753342,0.390254885,641.110603,641110.603
0.643110636,2.401384354,-0.512359142,0.304063618,643.110636,643110.636
0.645110669,2.327163935,-0.541089594,0.399831682,645.110669,645110.669
0.647110702,2.075772762,-0.663193882,0.588973641,647.110702,647110.702
0.649110735,1.89860189,-0.74220252,0.663193882,649.110735,649110.735
0.651111635,1.505952835,-0.89303726,0.806845963,651.111635,651111.635
0.653112535,1.084573388,-0.991199493,0.907402456,653.112535,653112.535
0.655112301,0.885854602,-1.043871999,0.974440098,655.112301,655112.301
0.657112201,0.500388145,-1.118092179,1.144428372,657.112201,657112.201
0.659112167,0.141257897,-1.165976286,1.414973259,659.112167,659112.167
0.661112133,-0.026336219,-1.192312479,1.582567334,661.112133,661112.133
0.663112099,-0.368707061,-1.230619669,1.972822189,663.112099,663112.099
0.665112065,-0.758961916,-1.295263171,2.351106167,665.112065,665112.065
0.667112031,-0.950498104,-1.314416766,2.552218914,667.112031,667112.031
0.669111997,-1.295263171,-1.326387763,2.966415882,669.111997,669111.997
0.67111113,-1.613691926,-1.33835876,3.378218651,671.11113,671111.13
0.673110296,-1.745373011,-1.369483352,3.579331636,673.110296,673110.296
